newData1,newData2,newData3,newData4,newData5,newData6
1,97,4,3.14382713068394e-10,0,0
1,98,4,3.14382713237974e-10,0,0
1,99,4,5.03412087961818e-09,0,0
1,100,4,5.03412088486707e-09,0,0
1,101,4,3.1438271318048e-10,0,0
1,102,4,3.14382713072534e-10,0,0
1,103,4,3.14382713105348e-10,0,0
1,104,4,5.03412088322382e-09,0,0
1,105,4,3.14382713108447e-10,0,0
1,106,4,5.03412089287908e-09,0,0
1,107,4,5.03412087923097e-09,0,0
1,108,4,-1.53800679353753e-09,0,0
1,109,4,5.34850359571553e-09,0,0
1,110,4,3.143827129256e-10,0,0
1,111,4,5.03412088671772e-09,0,0
1,112,4,5.03412088273454e-09,0,0
1,113,4,5.03412088615183e-09,0,0
1,114,4,5.034120882643e-09,0,0
1,115,4,3.14382713072577e-10,0,0
1,116,4,3.14382713308535e-10,0,0
1,117,4,3.1438271307229e-10,0,0
1,118,4,3.14382713090986e-10,0,0
1,119,4,3.14382713180253e-10,0,0
1,120,4,3.14382712920986e-10,0,0
1,121,4,3.14382713077221e-10,0,0
1,122,4,3.14382712906849e-10,0,0
1,123,4,3.14382713072534e-10,0,0
1,124,4,3.14382712911536e-10,0,0
1,125,4,3.14382717685591e-10,0,0
1,126,4,0.000186370199837025,0,1
1,127,4,0.000186370199833917,0,0
1,128,4,5.03412088263815e-09,0,0
1,129,4,5.66288630612722e-09,0,0
1,130,4,-8.82118089142126e-09,0,0
1,131,4,3.14382713403904e-10,0,0
1,132,4,3.14382713100661e-10,0,0
1,133,4,3.14382713072118e-10,0,0
1,134,4,3.14382713238218e-10,0,0
1,135,4,3.14382713072272e-10,0,0
1,136,4,3.14382712906849e-10,0,0
1,137,4,3.14382713072534e-10,0,0
1,138,4,3.14382713072534e-10,0,0
1,139,4,5.03412088323609e-09,0,0
1,140,4,3.14382713270335e-10,0,0
1,141,4,1.00682418950262e-08,0,0
1,142,4,3.14382713072528e-10,0,0
1,143,4,3.14382713242907e-10,0,0
